,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Betsy, Skin in the Game","Bravo, Showstopper",Dash I/O,"Dash, Inventor Extraordinaire",Dorinthea Ironsong,"Fai, Rising Rebellion","Kano, Dracai of Aether",Kassai of the Golden Sand,"Katsu, the Wanderer","Kayo, Armed and Dangerous","Levia, Shadowborn Abomination",Maxx 'The Hype' Nitro,"Olympia, Prized Fighter","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Victor Goldmane, High and Mighty","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,30,178,35,82,61,30,206,63,96,93,144,215,100,30,43,206,75,51,125,66,108,212,130,84
"Arakni, Huntsman",Games going first,15,100,14,36,36,13,130,39,62,58,91,128,68,10,24,108,44,35,61,27,66,116,58,35
"Arakni, Huntsman",Games going second,15,78,21,46,25,17,76,24,34,35,53,87,32,20,19,98,31,16,64,39,42,96,72,49
"Arakni, Huntsman",Wins,15,88,21,33,33,10,99,22,53,37,78,85,58,13,23,80,36,15,55,34,51,75,65,46
"Arakni, Huntsman",Wins going first,8,50,6,15,20,2,60,9,35,22,50,52,42,5,12,35,18,10,26,13,34,37,29,21
"Arakni, Huntsman",Wins going second,7,38,15,18,13,8,39,13,18,15,28,33,16,8,11,45,18,5,29,21,17,38,36,25
"Azalea, Ace in the Hole",Games,178,344,102,276,210,146,790,136,480,369,601,874,322,92,123,740,387,164,527,172,506,879,374,215
"Azalea, Ace in the Hole",Games going first,78,172,46,117,65,55,376,82,247,173,337,472,166,33,64,330,170,82,225,73,281,432,165,99
"Azalea, Ace in the Hole",Games going second,100,172,56,159,145,91,414,54,233,196,264,402,156,59,59,410,217,82,302,99,225,447,209,116
"Azalea, Ace in the Hole",Wins,90,172,52,117,119,80,433,86,285,193,319,426,192,61,81,308,212,72,314,98,245,307,247,139
"Azalea, Ace in the Hole",Wins going first,40,92,29,48,37,31,188,53,135,89,175,220,98,27,37,145,90,38,136,42,132,145,117,73
"Azalea, Ace in the Hole",Wins going second,50,80,23,69,82,49,245,33,150,104,144,206,94,34,44,163,122,34,178,56,113,162,130,66
"Betsy, Skin in the Game",Games,35,102,24,59,53,25,143,31,60,67,76,132,63,31,18,97,57,35,76,32,77,108,67,53
"Betsy, Skin in the Game",Games going first,21,56,12,27,21,15,94,21,39,55,48,86,42,20,15,53,38,22,38,13,50,53,39,23
"Betsy, Skin in the Game",Games going second,14,46,12,32,32,10,49,10,21,12,28,46,21,11,3,44,19,13,38,19,27,55,28,30
"Betsy, Skin in the Game",Wins,14,50,12,22,35,10,44,15,24,18,35,40,27,20,8,44,32,15,26,19,21,39,25,35
"Betsy, Skin in the Game",Wins going first,6,33,10,9,18,5,38,12,16,14,23,26,21,12,7,21,26,10,11,8,10,21,14,18
"Betsy, Skin in the Game",Wins going second,8,17,2,13,17,5,6,3,8,4,12,14,6,8,1,23,6,5,15,11,11,18,11,17
"Bravo, Showstopper",Games,82,276,59,92,71,58,294,53,159,162,187,299,146,39,46,222,116,46,186,72,200,265,147,90
"Bravo, Showstopper",Games going first,46,159,32,46,38,33,175,41,78,105,120,199,104,17,28,135,55,33,101,39,104,162,66,42
"Bravo, Showstopper",Games going second,36,117,27,46,33,25,119,12,81,57,67,100,42,22,18,87,61,13,85,33,96,103,81,48
"Bravo, Showstopper",Wins,49,159,37,46,38,33,115,22,65,57,115,124,71,20,27,133,54,29,90,40,93,129,71,46
"Bravo, Showstopper",Wins going first,28,90,19,22,21,16,65,16,33,38,77,88,52,12,19,82,24,21,57,21,51,76,31,24
"Bravo, Showstopper",Wins going second,21,69,18,24,17,17,50,6,32,19,38,36,19,8,8,51,30,8,33,19,42,53,40,22
Dash I/O,Games,61,210,53,71,66,36,263,59,177,151,188,245,99,27,77,250,87,68,154,59,213,264,162,86
Dash I/O,Games going first,25,145,32,33,33,14,166,42,108,83,120,152,61,17,59,141,48,48,90,37,133,148,76,41
Dash I/O,Games going second,36,65,21,38,33,22,97,17,69,68,68,93,38,10,18,109,39,20,64,22,80,116,86,45
Dash I/O,Wins,28,91,18,33,33,12,85,19,108,62,73,108,53,15,41,133,41,23,60,34,84,65,71,48
Dash I/O,Wins going first,12,63,15,16,17,5,56,15,64,33,47,68,36,9,31,74,21,16,42,20,53,36,32,21
Dash I/O,Wins going second,16,28,3,17,16,7,29,4,44,29,26,40,17,6,10,59,20,7,18,14,31,29,39,27
"Dash, Inventor Extraordinaire",Games,30,146,25,58,36,20,221,40,109,92,135,214,100,21,30,182,59,29,119,34,112,206,80,39
"Dash, Inventor Extraordinaire",Games going first,17,91,10,25,22,10,135,23,64,61,86,124,55,10,15,101,33,17,59,19,82,126,46,16
"Dash, Inventor Extraordinaire",Games going second,13,55,15,33,14,10,86,17,45,31,49,90,45,11,15,81,26,12,60,15,30,80,34,23
"Dash, Inventor Extraordinaire",Wins,20,66,15,25,24,10,101,15,64,48,75,124,55,16,20,125,29,16,52,18,59,95,42,25
"Dash, Inventor Extraordinaire",Wins going first,9,42,5,8,15,4,71,9,34,35,35,70,30,6,11,63,18,10,25,12,48,64,25,14
"Dash, Inventor Extraordinaire",Wins going second,11,24,10,17,9,6,30,6,30,13,40,54,25,10,9,62,11,6,27,6,11,31,17,11
Dorinthea Ironsong,Games,206,790,143,294,263,221,558,163,608,332,713,1100,423,112,84,816,395,225,451,192,605,996,458,229
Dorinthea Ironsong,Games going first,76,414,49,119,97,86,279,86,336,177,416,557,247,25,48,372,203,124,189,72,318,505,208,94
Dorinthea Ironsong,Games going second,130,376,94,175,166,135,279,77,272,155,297,543,176,87,36,444,192,101,262,120,287,491,250,135
Dorinthea Ironsong,Wins,107,357,99,179,178,120,279,102,307,179,414,670,266,48,50,401,251,71,280,77,279,395,223,132
Dorinthea Ironsong,Wins going first,37,169,43,69,68,56,143,49,155,94,229,315,153,12,29,180,124,39,119,35,138,203,108,58
Dorinthea Ironsong,Wins going second,70,188,56,110,110,64,136,53,152,85,185,355,113,36,21,221,127,32,161,42,141,192,115,74
"Fai, Rising Rebellion",Games,63,136,31,53,59,40,163,22,107,90,106,174,85,30,28,142,64,31,130,51,123,197,85,31
"Fai, Rising Rebellion",Games going first,24,54,10,12,17,17,77,11,69,38,58,88,47,13,16,72,19,16,51,16,60,105,30,11
"Fai, Rising Rebellion",Games going second,39,82,21,41,42,23,86,11,38,52,48,86,38,17,12,70,45,15,79,35,63,92,55,20
"Fai, Rising Rebellion",Wins,41,50,16,31,40,25,61,11,59,34,41,79,37,23,16,76,33,11,74,41,46,38,50,18
"Fai, Rising Rebellion",Wins going first,11,21,7,6,13,11,24,5,40,10,22,35,19,9,8,40,9,3,26,11,17,19,17,9
"Fai, Rising Rebellion",Wins going second,30,29,9,25,27,14,37,6,19,24,19,44,18,14,8,36,24,8,48,30,29,19,33,9
