,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Betsy, Skin in the Game","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Kano, Dracai of Aether","Kassai of the Golden Sand","Katsu, the Wanderer","Kayo, Armed and Dangerous","Levia, Shadowborn Abomination","Maxx 'The Hype' Nitro","Olympia, Prized Fighter","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Victor Goldmane, High and Mighty","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,20,126,29,75,45,26,166,10,51,76,64,108,154,80,21,32,159,66,45,95,54,89,152,102,63
"Arakni, Huntsman",Games going first,10,79,13,34,26,11,109,3,31,49,39,69,89,56,9,18,86,41,33,45,24,55,85,48,26
"Arakni, Huntsman",Games going second,10,47,16,41,19,15,57,7,20,27,25,39,65,24,12,14,73,25,12,50,30,34,67,54,37
"Arakni, Huntsman",Wins,10,66,16,33,19,10,79,2,19,40,26,62,57,44,7,18,59,30,13,47,27,39,54,53,33
"Arakni, Huntsman",Wins going first,6,41,5,15,11,2,51,1,8,25,14,39,32,32,4,9,25,17,8,23,11,29,28,24,17
"Arakni, Huntsman",Wins going second,4,25,11,18,8,8,28,1,11,15,12,23,25,12,3,9,34,13,5,24,16,10,26,29,16
"Azalea, Ace in the Hole",Games,126,244,75,203,150,97,594,90,103,329,273,399,608,235,62,84,515,290,121,374,133,364,592,267,149
"Azalea, Ace in the Hole",Games going first,47,122,32,88,54,37,285,48,59,165,122,215,322,125,22,46,231,131,56,163,60,211,270,108,70
"Azalea, Ace in the Hole",Games going second,79,122,43,115,96,60,309,42,44,164,151,184,286,110,40,38,284,159,65,211,73,153,322,159,79
"Azalea, Ace in the Hole",Wins,60,122,37,86,83,57,332,37,66,196,136,206,304,138,42,57,208,157,52,221,77,183,202,169,87
"Azalea, Ace in the Hole",Wins going first,22,69,20,36,29,21,154,24,37,84,57,109,156,75,19,26,101,70,26,96,36,97,85,76,47
"Azalea, Ace in the Hole",Wins going second,38,53,17,50,54,36,178,13,29,112,79,97,148,63,23,31,107,87,26,125,41,86,117,93,40
"Betsy, Skin in the Game",Games,29,75,18,50,37,19,114,24,20,48,55,57,113,47,28,14,77,31,29,54,23,56,89,53,39
"Betsy, Skin in the Game",Games going first,16,43,9,19,13,10,75,13,14,29,46,39,74,33,18,11,40,16,19,27,11,38,49,31,20
"Betsy, Skin in the Game",Games going second,13,32,9,31,24,9,39,11,6,19,9,18,39,14,10,3,37,15,10,27,12,18,40,22,19
"Betsy, Skin in the Game",Wins,13,38,9,21,25,9,40,12,9,20,16,24,31,21,17,7,33,13,12,19,14,11,32,20,28
"Betsy, Skin in the Game",Wins going first,5,26,8,8,11,5,34,7,8,12,13,18,19,17,10,6,15,8,8,9,7,6,20,11,17
"Betsy, Skin in the Game",Wins going second,8,12,1,13,14,4,6,5,1,8,3,6,12,4,7,1,18,5,4,10,7,5,12,9,11
"Bravo, Showstopper",Games,75,203,50,64,56,44,240,44,43,118,127,141,238,106,31,30,165,94,31,144,56,146,208,114,71
"Bravo, Showstopper",Games going first,41,115,31,32,27,26,147,24,32,61,87,90,159,79,15,17,101,46,23,79,31,79,121,50,34
"Bravo, Showstopper",Games going second,34,88,19,32,29,18,93,20,11,57,40,51,79,27,16,13,64,48,8,65,25,67,87,64,37
"Bravo, Showstopper",Wins,42,117,29,32,32,28,89,17,17,46,41,88,100,49,14,17,99,44,19,72,29,77,97,63,36
"Bravo, Showstopper",Wins going first,23,65,18,17,17,14,51,10,11,25,30,57,69,36,10,12,61,20,14,45,16,43,52,26,19
"Bravo, Showstopper",Wins going second,19,52,11,15,15,14,38,7,6,21,11,31,31,13,4,5,38,24,5,27,13,34,45,37,17
"Dash I/O",Games,45,150,37,56,56,33,207,30,50,139,122,133,195,76,24,63,195,70,56,118,49,163,204,119,69
"Dash I/O",Games going first,19,96,24,29,28,11,124,14,36,91,65,85,119,49,15,48,112,38,38,70,29,102,115,56,37
"Dash I/O",Games going second,26,54,13,27,28,22,83,16,14,48,57,48,76,27,9,15,83,32,18,48,20,61,89,63,32
"Dash I/O",Wins,26,67,12,24,28,11,63,14,16,90,49,53,84,44,13,31,111,32,18,49,30,63,48,50,37
"Dash I/O",Wins going first,11,42,10,14,17,4,39,8,13,57,25,37,52,29,8,23,62,15,11,35,17,39,26,24,18
"Dash I/O",Wins going second,15,25,2,10,11,7,24,6,3,33,24,16,32,15,5,8,49,17,7,14,13,24,22,26,19
"Dash, Inventor Extraordinaire",Games,26,97,19,44,33,16,183,29,38,90,84,114,180,77,16,25,154,56,23,98,26,85,159,61,34
"Dash, Inventor Extraordinaire",Games going first,15,60,9,18,22,8,105,7,21,51,54,73,99,40,8,13,89,31,13,46,16,68,99,33,15
"Dash, Inventor Extraordinaire",Games going second,11,37,10,26,11,8,78,22,17,39,30,41,81,37,8,12,65,25,10,52,10,17,60,28,19
"Dash, Inventor Extraordinaire",Wins,16,40,10,16,22,8,76,14,14,56,43,62,104,42,13,17,104,27,11,43,13,48,69,32,22
"Dash, Inventor Extraordinaire",Wins going first,7,24,5,4,15,3,50,4,8,29,30,29,54,22,5,9,56,16,6,20,10,42,49,19,13
"Dash, Inventor Extraordinaire",Wins going second,9,16,5,12,7,5,26,10,6,27,13,33,50,20,8,8,48,11,5,23,3,6,20,13,9
"Dorinthea Ironsong",Games,166,594,114,240,207,183,488,138,132,469,273,574,883,345,91,66,672,336,196,356,154,497,798,376,205
"Dorinthea Ironsong",Games going first,57,309,39,93,83,78,244,69,68,258,141,334,431,208,19,34,296,167,104,136,55,256,406,168,82
