,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Betsy, Skin in the Game","Bravo, Showstopper",Dash I/O,"Dash, Inventor Extraordinaire",Dorinthea Ironsong,"Fai, Rising Rebellion","Kano, Dracai of Aether",Kassai of the Golden Sand,"Katsu, the Wanderer","Kayo, Armed and Dangerous","Levia, Shadowborn Abomination",Maxx 'The Hype' Nitro,"Olympia, Prized Fighter","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Victor Goldmane, High and Mighty","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,108,435,131,252,190,130,417,179,290,434,414,685,347,85,188,349,401,148,342,145,254,576,231,247
"Arakni, Huntsman",Games going first,54,225,40,119,82,63,252,113,190,250,227,393,203,44,113,182,213,93,176,59,140,313,100,95
"Arakni, Huntsman",Games going second,54,210,91,133,108,67,165,66,100,184,187,292,144,41,75,167,188,55,166,86,114,263,131,152
"Arakni, Huntsman",Wins,54,207,73,90,103,67,159,76,129,152,220,292,187,52,114,124,202,60,153,64,127,172,75,122
"Arakni, Huntsman",Wins going first,28,111,22,41,49,39,92,45,81,76,115,159,105,31,69,64,107,34,69,27,69,86,30,44
"Arakni, Huntsman",Wins going second,26,96,51,49,54,28,67,31,48,76,105,133,82,21,45,60,95,26,84,37,58,86,45,78
"Azalea, Ace in the Hole",Games,435,504,247,634,301,432,1342,328,927,1004,1035,1904,760,160,326,917,814,250,828,234,778,1500,552,459
"Azalea, Ace in the Hole",Games going first,210,252,100,218,114,176,653,175,474,430,500,943,360,61,148,473,354,127,334,95,372,697,241,194
"Azalea, Ace in the Hole",Games going second,225,252,147,416,187,256,689,153,453,574,535,961,400,99,178,444,460,123,494,139,406,803,311,265
"Azalea, Ace in the Hole",Wins,228,252,129,257,201,243,643,201,498,577,571,986,457,118,216,353,481,137,460,170,378,497,355,278
"Azalea, Ace in the Hole",Wins going first,114,118,53,84,80,102,300,106,248,230,271,469,194,48,100,181,195,70,175,74,180,233,156,118
"Azalea, Ace in the Hole",Wins going second,114,134,76,173,121,141,343,95,250,347,300,517,263,70,116,172,286,67,285,96,198,264,199,160
"Betsy, Skin in the Game",Games,131,247,90,129,135,79,264,135,197,258,246,351,198,52,128,208,242,96,172,66,238,295,147,188
"Betsy, Skin in the Game",Games going first,91,147,45,67,76,35,151,85,122,160,167,193,135,28,75,118,117,61,68,31,149,161,72,92
"Betsy, Skin in the Game",Games going second,40,100,45,62,59,44,113,50,75,98,79,158,63,24,53,90,125,35,104,35,89,134,75,96
"Betsy, Skin in the Game",Wins,58,118,45,47,61,23,75,51,88,45,114,108,81,24,49,82,92,37,58,28,74,97,64,96
"Betsy, Skin in the Game",Wins going first,40,71,26,25,35,11,46,25,49,23,69,57,56,12,25,47,47,20,25,11,45,55,30,53
"Betsy, Skin in the Game",Wins going second,18,47,19,22,26,12,29,26,39,22,45,51,25,12,24,35,45,17,33,17,29,42,34,43
"Bravo, Showstopper",Games,252,634,129,324,209,250,751,279,566,664,623,1175,535,93,200,603,519,170,576,120,479,782,275,219
"Bravo, Showstopper",Games going first,133,416,62,162,111,137,423,161,291,398,375,705,306,57,111,320,282,104,293,59,280,457,128,105
"Bravo, Showstopper",Games going second,119,218,67,162,98,113,328,118,275,266,248,470,229,36,89,283,237,66,283,61,199,325,147,114
"Bravo, Showstopper",Wins,162,377,82,162,111,100,315,166,260,217,387,526,275,65,95,323,269,110,243,52,196,381,138,131
"Bravo, Showstopper",Wins going first,84,243,40,80,65,66,166,88,126,144,240,309,158,41,54,164,142,74,132,29,117,224,76,66
