,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Kano, Dracai of Aether","Katsu, the Wanderer","Levia, Shadowborn Abomination","Maxx 'The Hype' Nitro","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,118,376,313,371,138,182,216,320,114,202,225,174,207,222,145,252,213,180,148,214
"Arakni, Huntsman",Games going first,59,221,160,173,57,96,127,180,64,115,105,70,87,99,76,106,101,98,66,96
"Arakni, Huntsman",Games going second,59,155,153,198,81,86,89,140,50,87,120,104,120,123,69,146,112,82,82,118
"Arakni, Huntsman",Wins,59,175,102,217,45,81,60,108,61,107,123,99,68,94,74,115,123,91,66,109
"Arakni, Huntsman",Wins going first,31,96,54,100,24,43,32,54,32,63,64,39,34,33,33,54,55,49,27,48
"Arakni, Huntsman",Wins going second,28,79,48,117,21,38,28,54,29,44,59,60,34,61,41,61,68,42,39,61
"Azalea, Ace in the Hole",Games,376,730,1343,1455,701,679,1219,1177,442,782,649,534,472,872,372,839,483,845,342,602
"Azalea, Ace in the Hole",Games going first,155,365,512,590,290,327,494,599,209,361,260,209,238,361,197,361,205,405,102,255
"Azalea, Ace in the Hole",Games going second,221,365,831,865,411,352,725,578,233,421,389,325,234,511,175,478,278,440,240,347
"Azalea, Ace in the Hole",Wins,201,365,550,925,379,353,491,589,280,440,374,363,245,511,191,468,340,446,218,361
"Azalea, Ace in the Hole",Wins going first,76,186,213,387,168,159,219,263,130,188,132,145,114,203,89,196,140,200,67,169
"Azalea, Ace in the Hole",Wins going second,125,179,337,538,211,194,272,326,150,252,242,218,131,308,102,272,200,246,151,192
"Bravo, Showstopper",Games,313,1343,1070,1377,632,588,1312,1223,324,740,616,552,374,769,344,717,456,734,371,465
"Bravo, Showstopper",Games going first,153,831,535,701,300,287,676,708,191,394,350,261,190,395,216,353,239,414,174,221
"Bravo, Showstopper",Games going second,160,512,535,676,332,301,636,515,133,346,266,291,184,374,128,364,217,320,197,244
"Bravo, Showstopper",Wins,211,793,535,915,282,342,716,632,151,446,353,323,174,400,213,313,256,373,215,312
"Bravo, Showstopper",Wins going first,105,494,275,488,150,163,373,348,96,229,202,163,95,187,129,161,130,209,115,155
"Bravo, Showstopper",Wins going second,106,299,260,427,132,179,343,284,55,217,151,160,79,213,84,152,126,164,100,157
"Dash I/O",Games,371,1455,1377,1084,643,662,1087,1309,468,836,635,599,499,806,436,804,475,772,381,596
"Dash I/O",Games going first,198,865,676,542,331,365,577,805,288,501,350,282,287,425,254,394,227,452,191,259
"Dash I/O",Games going second,173,590,701,542,312,297,510,504,180,335,285,317,212,381,182,410,248,320,190,337
"Dash I/O",Wins,154,530,462,542,254,279,482,545,277,341,374,375,299,396,185,384,291,322,207,330
"Dash I/O",Wins going first,81,327,249,310,152,153,274,338,170,199,209,180,171,213,97,204,142,181,114,153
"Dash I/O",Wins going second,73,203,213,232,102,126,208,207,107,142,165,195,128,183,88,180,149,141,93,177
"Dash, Inventor Extraordinaire",Games,138,701,632,643,302,227,691,638,195,285,243,211,184,349,140,258,180,304,155,215
"Dash, Inventor Extraordinaire",Games going first,81,411,332,312,151,135,363,369,121,163,145,91,110,180,88,114,97,179,80,89
"Dash, Inventor Extraordinaire",Games going second,57,290,300,331,151,92,328,269,74,122,98,120,74,169,52,144,83,125,75,126
"Dash, Inventor Extraordinaire",Wins,93,322,350,389,151,125,305,311,123,140,142,124,128,174,80,122,110,158,97,136
"Dash, Inventor Extraordinaire",Wins going first,60,200,200,210,70,78,176,171,72,76,89,55,74,89,50,61,60,104,51,57
"Dash, Inventor Extraordinaire",Wins going second,33,122,150,179,81,47,129,140,51,64,53,69,54,85,30,61,50,54,46,79
"Dorinthea Ironsong",Games,182,679,588,662,227,162,491,587,226,363,281,250,252,378,217,337,301,370,233,251
"Dorinthea Ironsong",Games going first,86,352,301,297,92,81,199,311,134,197,146,84,115,195,130,119,144,202,94,103
"Dorinthea Ironsong",Games going second,96,327,287,365,135,81,292,276,92,166,135,166,137,183,87,218,157,168,139,148
"Dorinthea Ironsong",Wins,101,326,246,383,102,81,216,293,131,201,151,153,111,208,93,197,189,161,129,133
"Dorinthea Ironsong",Wins going first,48,158,122,171,45,42,88,145,76,95,71,60,52,109,48,64,91,81,58,62
"Dorinthea Ironsong",Wins going second,53,168,124,212,57,39,128,148,55,106,80,93,59,99,45,133,98,80,71,71
"Dromai, Ash Artist",Games,216,1219,1312,1087,691,491,570,778,315,598,451,421,248,626,189,532,318,541,309,386
"Dromai, Ash Artist",Games going first,89,725,636,510,328,292,285,415,200,330,234,205,133,335,118,235,151,286,129,195
"Dromai, Ash Artist",Games going second,127,494,676,577,363,199,285,363,115,268,217,216,115,291,71,297,167,255,180,191
"Dromai, Ash Artist",Wins,156,728,596,605,386,275,285,295,230,257,220,278,216,320,153,344,272,375,210,248
"Dromai, Ash Artist",Wins going first,61,453,293,302,199,164,139,146,150,135,118,143,120,178,99,155,131,202,96,136
"Dromai, Ash Artist",Wins going second,95,275,303,303,187,111,146,149,80,122,102,135,96,142,54,189,141,173,114,112
"Fai, Rising Rebellion",Games,320,1177,1223,1309,638,587,778,590,364,551,500,450,455,725,308,666,390,719,285,458
"Fai, Rising Rebellion",Games going first,140,578,515,504,269,276,363,295,207,256,234,139,218,337,140,244,131,341,112,156
"Fai, Rising Rebellion",Games going second,180,599,708,805,369,311,415,295,157,295,266,311,237,388,168,422,259,378,173,302
"Fai, Rising Rebellion",Wins,212,588,591,764,327,294,483,295,205,244,301,287,340,446,146,384,347,358,181,257
"Fai, Rising Rebellion",Wins going first,86,252,231,297,129,128,214,121,110,89,124,90,152,194,62,143,116,144,72,104
"Fai, Rising Rebellion",Wins going second,126,336,360,467,198,166,269,174,95,155,177,197,188,252,84,241,231,214,109,153
"Kano, Dracai of Aether",Games,114,442,324,468,195,226,315,364,124,286,200,209,122,300,133,265,122,181,140,211
"Kano, Dracai of Aether",Games going first,50,233,133,180,74,92,115,157,62,114,80,81,36,96,63,66,43,88,47,76
"Kano, Dracai of Aether",Games going second,64,209,191,288,121,134,200,207,62,172,120,128,86,204,70,199,79,93,93,135
"Kano, Dracai of Aether",Wins,53,162,173,191,72,95,85,159,62,133,93,110,35,134,88,120,100,109,69,92
"Kano, Dracai of Aether",Wins going first,21,83,78,73,23,37,35,62,35,53,39,37,7,41,47,36,38,58,23,32
"Kano, Dracai of Aether",Wins going second,32,79,95,118,49,58,50,97,27,80,54,73,28,93,41,84,62,51,46,60
"Katsu, the Wanderer",Games,202,782,740,836,285,363,598,551,286,236,367,292,240,459,224,448,304,486,237,361
"Katsu, the Wanderer",Games going first,87,421,346,335,122,166,268,295,172,118,171,112,140,222,119,161,130,257,89,135
"Katsu, the Wanderer",Games going second,115,361,394,501,163,197,330,256,114,118,196,180,100,237,105,287,174,229,148,226
"Katsu, the Wanderer",Wins,95,342,294,495,145,162,341,307,153,118,198,182,136,242,90,248,218,216,152,171
"Katsu, the Wanderer",Wins going first,43,169,129,193,58,60,146,140,92,53,83,67,74,102,37,80,95,104,54,68
"Katsu, the Wanderer",Wins going second,52,173,165,302,87,102,195,167,61,65,115,115,62,140,53,168,123,112,98,103
"Levia, Shadowborn Abomination",Games,225,649,616,635,243,281,451,500,200,367,200,270,241,362,233,387,309,442,169,327
"Levia, Shadowborn Abomination",Games going first,120,389,266,285,98,135,217,266,120,196,100,111,111,177,120,176,133,238,61,120
"Levia, Shadowborn Abomination",Games going second,105,260,350,350,145,146,234,234,80,171,100,159,130,185,113,211,176,204,108,207
"Levia, Shadowborn Abomination",Wins,102,275,263,261,101,130,231,199,107,169,100,130,167,171,108,157,200,207,71,144
"Levia, Shadowborn Abomination",Wins going first,61,147,115,120,45,55,115,89,66,81,41,51,74,82,49,63,89,98,23,56
"Levia, Shadowborn Abomination",Wins going second,41,128,148,141,56,75,116,110,41,88,59,79,93,89,59,94,111,109,48,88
"Maxx 'The Hype' Nitro",Games,174,534,552,599,211,250,421,450,209,292,270,134,220,312,204,317,265,320,193,296
"Maxx 'The Hype' Nitro",Games going first,104,325,291,317,120,166,216,311,128,180,159,67,122,173,134,170,152,220,82,119
"Maxx 'The Hype' Nitro",Games going second,70,209,261,282,91,84,205,139,81,112,111,67,98,139,70,147,113,100,111,177
"Maxx 'The Hype' Nitro",Wins,75,171,229,224,87,97,143,163,99,110,140,67,139,137,96,127,168,128,62,119
"Maxx 'The Hype' Nitro",Wins going first,44,107,131,122,51,73,81,114,55,65,80,31,80,77,63,65,100,90,33,60
"Maxx 'The Hype' Nitro",Wins going second,31,64,98,102,36,24,62,49,44,45,60,36,59,60,33,62,68,38,29,59
"Prism, Awakener of Sol",Games,207,472,374,499,184,252,248,455,122,240,241,220,146,245,188,305,242,297,194,257
"Prism, Awakener of Sol",Games going first,120,234,184,212,74,137,115,237,86,100,130,98,73,124,118,128,121,187,76,117
"Prism, Awakener of Sol",Games going second,87,238,190,287,110,115,133,218,36,140,111,122,73,121,70,177,121,110,118,140
"Prism, Awakener of Sol",Wins,139,227,200,200,56,141,32,115,87,104,74,81,73,75,111,103,165,163,97,107
"Prism, Awakener of Sol",Wins going first,86,103,105,84,20,78,19,49,58,38,37,39,36,39,71,46,81,102,40,54
"Prism, Awakener of Sol",Wins going second,53,124,95,116,36,63,13,66,29,66,37,42,37,36,40,57,84,61,57,53
"Rhinar, Reckless Rampage",Games,222,872,769,806,349,378,626,725,300,459,362,312,245,300,229,441,309,444,222,288
"Rhinar, Reckless Rampage",Games going first,123,511,374,381,169,183,291,388,204,237,185,139,121,150,124,211,155,239,87,110
"Rhinar, Reckless Rampage",Games going second,99,361,395,425,180,195,335,337,96,222,177,173,124,150,105,230,154,205,135,178
"Rhinar, Reckless Rampage",Wins,128,361,369,410,175,170,306,279,166,217,191,175,170,150,136,176,200,217,95,131
"Rhinar, Reckless Rampage",Wins going first,62,203,161,198,84,84,149,136,111,97,96,79,85,75,81,87,107,118,34,57
"Rhinar, Reckless Rampage",Wins going second,66,158,208,212,91,86,157,143,55,120,95,96,85,75,55,89,93,99,61,74
"Riptide, Lurker of the Deep",Games,145,372,344,436,140,217,189,308,133,224,233,204,188,229,96,273,227,299,129,232
"Riptide, Lurker of the Deep",Games going first,69,175,128,182,52,87,71,168,70,105,113,70,70,105,48,89,95,158,57,87
"Riptide, Lurker of the Deep",Games going second,76,197,216,254,88,130,118,140,63,119,120,134,118,124,48,184,132,141,72,145
"Riptide, Lurker of the Deep",Wins,71,181,131,251,60,124,36,162,45,134,125,108,77,93,48,152,103,169,69,115
"Riptide, Lurker of the Deep",Wins going first,28,73,44,94,22,42,17,84,29,52,54,37,30,50,22,41,36,89,26,43
"Riptide, Lurker of the Deep",Wins going second,43,108,87,157,38,82,19,78,16,82,71,71,47,43,26,111,67,80,43,72
"Ser Boltyn, Breaker of Dawn",Games,252,839,717,804,258,337,532,666,265,448,387,317,305,441,273,274,289,460,253,375
"Ser Boltyn, Breaker of Dawn",Games going first,146,478,364,410,144,218,297,422,199,287,211,147,177,230,184,137,152,294,127,186
"Ser Boltyn, Breaker of Dawn",Games going second,106,361,353,394,114,119,235,244,66,161,176,170,128,211,89,137,137,166,126,189
"Ser Boltyn, Breaker of Dawn",Wins,137,371,404,420,136,140,188,282,145,200,230,190,202,265,121,137,182,231,127,200
"Ser Boltyn, Breaker of Dawn",Wins going first,85,206,212,230,83,85,108,181,115,119,117,85,120,141,73,77,101,147,69,110
"Ser Boltyn, Breaker of Dawn",Wins going second,52,165,192,190,53,55,80,101,30,81,113,105,82,124,48,60,81,84,58,90
"Teklovossen, Esteemed Magnate",Games,213,483,456,475,180,301,318,390,122,304,309,265,242,309,227,289,218,360,144,248
"Teklovossen, Esteemed Magnate",Games going first,112,278,217,248,83,157,167,259,79,174,176,113,121,154,132,137,109,196,69,102
"Teklovossen, Esteemed Magnate",Games going second,101,205,239,227,97,144,151,131,43,130,133,152,121,155,95,152,109,164,75,146
"Teklovossen, Esteemed Magnate",Wins,90,143,200,184,70,112,46,43,22,86,109,97,77,109,124,107,109,135,43,87
"Teklovossen, Esteemed Magnate",Wins going first,44,78,91,99,33,59,26,28,17,51,65,45,37,61,65,56,44,70,21,30
"Teklovossen, Esteemed Magnate",Wins going second,46,65,109,85,37,53,20,15,5,35,44,52,40,48,59,51,65,65,22,57
"Uzuri, Switchblade",Games,180,845,734,772,304,370,541,719,181,486,442,320,297,444,299,460,360,226,267,394
"Uzuri, Switchblade",Games going first,82,440,320,320,125,168,255,378,93,229,204,100,110,205,141,166,164,113,119,144
"Uzuri, Switchblade",Games going second,98,405,414,452,179,202,286,341,88,257,238,220,187,239,158,294,196,113,148,250
"Uzuri, Switchblade",Wins,89,399,361,450,146,209,166,361,72,270,235,192,134,227,130,229,225,113,134,203
"Uzuri, Switchblade",Wins going first,40,194,156,179,71,88,82,164,42,117,95,62,49,106,61,82,99,57,49,84
"Uzuri, Switchblade",Wins going second,49,205,205,271,75,121,84,197,30,153,140,130,85,121,69,147,126,56,85,119
"Viserai, Rune Blood",Games,148,342,371,381,155,233,309,285,140,237,169,193,194,222,129,253,144,267,172,174
"Viserai, Rune Blood",Games going first,82,240,197,190,75,139,180,173,93,148,108,111,118,135,72,126,75,148,86,78
"Viserai, Rune Blood",Games going second,66,102,174,191,80,94,129,112,47,89,61,82,76,87,57,127,69,119,86,96
"Viserai, Rune Blood",Wins,82,124,156,174,58,104,99,104,71,85,98,131,97,127,60,126,101,133,86,93
"Viserai, Rune Blood",Wins going first,43,89,97,97,29,68,66,64,47,50,60,82,61,74,29,68,53,63,47,50
"Viserai, Rune Blood",Wins going second,39,35,59,77,29,36,33,40,24,35,38,49,36,53,31,58,48,70,39,43
"Vynnset, Iron Maiden",Games,214,602,465,596,215,251,386,458,211,361,327,296,257,288,232,375,248,394,174,214
"Vynnset, Iron Maiden",Games going first,118,347,244,337,126,148,191,302,135,226,207,177,140,178,145,189,146,250,96,107
"Vynnset, Iron Maiden",Games going second,96,255,221,259,89,103,195,156,76,135,120,119,117,110,87,186,102,144,78,107
"Vynnset, Iron Maiden",Wins,105,241,153,266,79,118,138,201,119,190,183,177,150,157,117,175,161,191,81,107
"Vynnset, Iron Maiden",Wins going first,57,155,87,160,47,77,79,149,75,123,119,118,87,104,73,99,89,131,53,58
"Vynnset, Iron Maiden",Wins going second,48,86,66,106,32,41,59,52,44,67,64,59,63,53,44,76,72,60,28,49
