,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Kano, Dracai of Aether","Katsu, the Wanderer","Levia, Shadowborn Abomination","Maxx 'The Hype' Nitro","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,58,243,292,373,194,186,279,205,59,204,144,304,113,181,109,215,296,138,78,165
"Arakni, Huntsman",Games going first,29,150,133,190,96,102,151,127,33,103,67,143,58,91,52,102,165,81,28,71
"Arakni, Huntsman",Games going second,29,93,159,183,98,84,128,78,26,101,77,161,55,90,57,113,131,57,50,94
"Arakni, Huntsman",Wins,29,110,92,229,73,76,49,88,35,97,79,203,34,71,62,84,204,75,45,89
"Arakni, Huntsman",Wins going first,12,68,43,116,37,42,26,52,18,48,31,98,19,32,27,41,121,42,17,46
"Arakni, Huntsman",Wins going second,17,42,49,113,36,34,23,36,17,49,48,105,15,39,35,43,83,33,28,43
"Azalea, Ace in the Hole",Games,243,576,1174,1181,828,643,1629,893,361,780,401,634,274,553,237,641,679,740,231,462
"Azalea, Ace in the Hole",Games going first,93,288,470,518,362,289,637,464,189,405,172,249,125,244,109,223,325,317,93,183
"Azalea, Ace in the Hole",Games going second,150,288,704,663,466,354,992,429,172,375,229,385,149,309,128,418,354,423,138,279
"Azalea, Ace in the Hole",Wins,133,288,512,810,494,343,701,506,211,441,257,472,134,331,118,335,512,402,144,274
"Azalea, Ace in the Hole",Wins going first,51,151,201,361,214,144,283,231,112,212,110,192,61,138,52,102,240,177,51,117
"Azalea, Ace in the Hole",Wins going second,82,137,311,449,280,199,418,275,99,229,147,280,73,193,66,233,272,225,93,157
"Bravo, Showstopper",Games,292,1174,1056,1462,830,747,2083,1165,405,919,472,855,316,756,285,727,741,944,299,546
"Bravo, Showstopper",Games going first,159,704,528,775,431,371,1032,654,260,478,257,415,140,380,164,345,403,502,122,266
"Bravo, Showstopper",Games going second,133,470,528,687,399,376,1051,511,145,441,215,440,176,376,121,382,338,442,177,280
"Bravo, Showstopper",Wins,200,662,528,948,411,389,1090,589,175,552,256,557,150,404,179,283,516,509,175,346
"Bravo, Showstopper",Wins going first,110,393,272,507,221,196,558,328,107,277,134,282,73,190,101,134,291,265,69,174
"Bravo, Showstopper",Wins going second,90,269,256,441,190,193,532,261,68,275,122,275,77,214,78,149,225,244,106,172
"Dash I/O",Games,373,1181,1462,1628,933,794,1805,1120,511,939,604,1531,403,693,369,903,1666,1048,357,594
"Dash I/O",Games going first,183,663,687,814,493,440,900,655,323,544,315,691,210,350,214,376,801,562,151,234
"Dash I/O",Games going second,190,518,775,814,440,354,905,465,188,395,289,840,193,343,155,527,865,486,206,360
"Dash I/O",Wins,144,371,514,814,323,282,717,410,302,358,307,942,246,309,156,373,1072,414,181,308
"Dash I/O",Wins going first,70,214,246,430,176,159,385,246,184,196,160,439,121,160,86,166,524,224,80,133
"Dash I/O",Wins going second,74,157,268,384,147,123,332,164,118,162,147,503,125,149,70,207,548,190,101,175
"Dash, Inventor Extraordinaire",Games,194,828,830,933,432,451,1235,702,265,548,305,548,196,390,149,467,482,508,200,303
"Dash, Inventor Extraordinaire",Games going first,98,466,399,440,216,252,622,394,135,312,160,233,101,190,77,222,245,308,71,103
"Dash, Inventor Extraordinaire",Games going second,96,362,431,493,216,199,613,308,130,236,145,315,95,200,72,245,237,200,129,200
"Dash, Inventor Extraordinaire",Wins,121,334,419,610,216,217,542,348,167,270,170,385,126,189,89,217,341,256,124,192
"Dash, Inventor Extraordinaire",Wins going first,62,186,209,293,103,129,281,179,79,159,90,174,66,89,45,120,180,150,38,75
"Dash, Inventor Extraordinaire",Wins going second,59,148,210,317,113,88,261,169,88,111,80,211,60,100,44,97,161,106,86,117
"Dorinthea Ironsong",Games,186,643,747,794,451,236,997,522,246,522,285,473,176,326,130,339,428,452,226,290
"Dorinthea Ironsong",Games going first,84,354,376,354,199,118,458,288,158,281,143,184,81,156,74,112,212,222,86,98
"Dorinthea Ironsong",Games going second,102,289,371,440,252,118,539,234,88,241,142,289,95,170,56,227,216,230,140,192
"Dorinthea Ironsong",Wins,110,300,358,512,234,118,427,276,121,242,159,313,63,167,55,189,319,232,113,124
"Dorinthea Ironsong",Wins going first,50,155,183,231,111,58,190,140,70,106,71,124,27,79,33,61,165,112,36,45
"Dorinthea Ironsong",Wins going second,60,145,175,281,123,60,237,136,51,136,88,189,36,88,22,128,154,120,77,79
"Dromai, Ash Artist",Games,279,1629,2083,1805,1235,997,1270,1148,487,879,482,1031,352,713,243,864,900,1019,354,566
"Dromai, Ash Artist",Games going first,128,992,1051,905,613,539,635,572,297,457,228,473,204,330,125,358,441,554,148,225
"Dromai, Ash Artist",Games going second,151,637,1032,900,622,458,635,576,190,422,254,558,148,383,118,506,459,465,206,341
"Dromai, Ash Artist",Wins,230,928,993,1088,693,570,635,478,307,395,245,766,272,327,203,523,792,689,240,332
"Dromai, Ash Artist",Wins going first,105,574,519,573,352,302,314,232,193,191,117,374,159,154,105,224,383,381,101,144
"Dromai, Ash Artist",Wins going second,125,354,474,515,341,268,321,246,114,204,128,392,113,173,98,299,409,308,139,188
"Fai, Rising Rebellion",Games,205,893,1165,1120,702,522,1148,612,313,636,312,651,253,513,228,545,603,609,207,411
"Fai, Rising Rebellion",Games going first,78,429,511,465,308,234,576,306,181,311,126,251,125,225,90,212,226,289,77,153
"Fai, Rising Rebellion",Games going second,127,464,654,655,394,288,572,306,132,325,186,400,128,288,138,333,377,320,130,258
"Fai, Rising Rebellion",Wins,117,387,576,710,354,246,670,306,176,277,182,438,178,294,93,278,534,322,124,208
"Fai, Rising Rebellion",Wins going first,42,154,250,301,139,98,330,123,109,124,72,176,92,123,40,99,196,134,47,85
"Fai, Rising Rebellion",Wins going second,75,233,326,409,215,148,340,183,67,153,110,262,86,171,53,179,338,188,77,123
"Kano, Dracai of Aether",Games,59,361,405,511,265,246,487,313,78,336,181,289,106,212,71,209,180,212,79,180
"Kano, Dracai of Aether",Games going first,26,172,145,188,130,88,190,132,39,156,69,99,44,65,28,52,69,82,26,47
"Kano, Dracai of Aether",Games going second,33,189,260,323,135,158,297,181,39,180,112,190,62,147,43,157,111,130,53,133
"Kano, Dracai of Aether",Wins,24,150,230,209,98,125,180,137,39,163,91,154,25,107,47,104,138,117,39,83
"Kano, Dracai of Aether",Wins going first,9,73,77,70,42,37,76,65,17,72,26,54,11,34,20,23,52,37,15,22
"Kano, Dracai of Aether",Wins going second,15,77,153,139,56,88,104,72,22,91,65,100,14,73,27,81,86,80,24,61
"Katsu, the Wanderer",Games,204,780,919,939,548,522,879,636,336,338,308,525,266,441,220,500,553,567,216,379
"Katsu, the Wanderer",Games going first,101,375,441,395,236,241,422,325,180,169,112,205,128,188,97,170,219,257,64,108
"Katsu, the Wanderer",Games going second,103,405,478,544,312,281,457,311,156,169,196,320,138,253,123,330,334,310,152,271
"Katsu, the Wanderer",Wins,107,339,367,581,278,280,484,359,173,169,168,366,190,235,97,278,433,239,131,186
"Katsu, the Wanderer",Wins going first,52,146,166,233,125,105,218,172,89,73,53,137,94,89,39,97,172,88,37,57
"Katsu, the Wanderer",Wins going second,55,193,201,348,153,175,266,187,84,96,115,229,96,146,58,181,261,151,94,129
"Levia, Shadowborn Abomination",Games,144,401,472,604,305,285,482,312,181,308,120,313,130,263,156,291,385,354,145,221
"Levia, Shadowborn Abomination",Games going first,77,229,215,289,145,142,254,186,112,196,60,129,62,129,88,131,169,175,51,79
"Levia, Shadowborn Abomination",Games going second,67,172,257,315,160,143,228,126,69,112,60,184,68,134,68,160,216,179,94,142
"Levia, Shadowborn Abomination",Wins,65,144,216,297,135,126,237,130,90,140,60,185,93,130,74,98,287,177,67,83
"Levia, Shadowborn Abomination",Wins going first,29,82,93,142,65,54,126,76,47,81,27,73,46,58,42,46,126,85,17,32
"Levia, Shadowborn Abomination",Wins going second,36,62,123,155,70,72,111,54,43,59,33,112,47,72,32,52,161,92,50,51
"Maxx 'The Hype' Nitro",Games,304,634,855,1531,548,473,1031,651,289,525,313,618,235,366,248,544,1169,624,252,390
"Maxx 'The Hype' Nitro",Games going first,161,385,440,840,315,289,558,400,190,320,184,309,123,189,144,280,653,408,130,166
"Maxx 'The Hype' Nitro",Games going second,143,249,415,691,233,184,473,251,99,205,129,309,112,177,104,264,516,216,122,224
"Maxx 'The Hype' Nitro",Wins,101,162,298,589,163,160,265,213,135,159,128,309,127,145,103,154,673,198,111,161
"Maxx 'The Hype' Nitro",Wins going first,56,105,165,337,104,100,166,138,90,91,72,177,67,78,56,87,403,130,58,89
"Maxx 'The Hype' Nitro",Wins going second,45,57,133,252,59,60,99,75,45,68,56,132,60,67,47,67,270,68,53,72
"Prism, Awakener of Sol",Games,113,274,316,403,196,176,352,253,106,266,130,235,88,182,99,243,237,270,120,195
"Prism, Awakener of Sol",Games going first,55,149,176,193,95,95,148,128,62,138,68,112,44,81,68,96,111,123,59,107
"Prism, Awakener of Sol",Games going second,58,125,140,210,101,81,204,125,44,128,62,123,44,101,31,147,126,147,61,88
"Prism, Awakener of Sol",Wins,79,140,166,157,70,113,80,75,81,76,37,108,44,66,64,83,167,167,54,77
"Prism, Awakener of Sol",Wins going first,40,76,99,68,35,59,35,42,48,42,21,52,21,39,49,31,80,70,25,49
"Prism, Awakener of Sol",Wins going second,39,64,67,89,35,54,45,33,33,34,16,56,23,27,15,52,87,97,29,28
"Rhinar, Reckless Rampage",Games,181,553,756,693,390,326,713,513,212,441,263,366,182,266,188,364,438,449,176,231
"Rhinar, Reckless Rampage",Games going first,90,309,376,343,200,170,383,288,147,253,134,177,101,133,96,165,223,249,86,103
"Rhinar, Reckless Rampage",Games going second,91,244,380,350,190,156,330,225,65,188,129,189,81,133,92,199,215,200,90,128
"Rhinar, Reckless Rampage",Wins,110,222,352,384,201,159,386,219,105,206,133,221,116,133,92,146,331,212,94,121
"Rhinar, Reckless Rampage",Wins going first,51,116,162,194,100,82,210,117,74,107,62,110,74,73,54,67,176,117,50,58
"Rhinar, Reckless Rampage",Wins going second,59,106,190,190,101,77,176,102,31,99,71,111,42,60,38,79,155,95,44,63
