 ,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts_38,Hand Counts_39,Combinations_38,Combinations_39,Percentage_38,Percentage_39,Percentage Diff,Comb 39/38,Perc Diff
7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,416,420,21090,22230,3.38%,3.36%,0.02%,105.41%,2.49%
18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,168,168,5130,5265,1.37%,1.34%,0.02%,102.63%,2.30%
8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,312,315,10545,11115,2.54%,2.52%,0.02%,105.41%,1.86%
9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,312,315,7030,7410,2.54%,2.52%,0.02%,105.41%,1.86%
73,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,7,111,55,0.07%,0.06%,0.02%,49.55%,1.72%
77,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,6,65,30,0.07%,0.05%,0.02%,46.15%,1.71%
15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,208,210,12654,13338,1.69%,1.68%,0.01%,105.41%,1.24%
12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,208,210,12654,8892,1.69%,1.68%,0.01%,70.27%,1.24%
17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,208,210,12654,13338,1.69%,1.68%,0.01%,105.41%,1.24%
16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,208,210,10545,11115,1.69%,1.68%,0.01%,105.41%,1.24%
14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,208,210,7030,7410,1.69%,1.68%,0.01%,105.41%,1.24%
13,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,208,210,10545,7410,1.69%,1.68%,0.01%,70.27%,1.24%
