,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
0,False,False,False,False,False,False,True,True,True,True,2236,73815,0.18190693133745525,"Handset object with 2236 distinct hands, and 73815 hand combinations."
2,True,False,False,False,False,False,True,True,True,False,1088,42180,0.08851285388870811,"Handset object with 1088 distinct hands, and 42180 hand combinations."
1,False,True,False,False,False,False,True,True,True,False,1088,50616,0.08851285388870811,"Handset object with 1088 distinct hands, and 50616 hand combinations."
3,False,False,False,False,False,True,True,True,True,False,544,25308,0.044256426944354055,"Handset object with 544 distinct hands, and 25308 hand combinations."
4,False,False,False,False,True,False,True,True,True,False,544,16872,0.044256426944354055,"Handset object with 544 distinct hands, and 16872 hand combinations."
5,False,False,False,True,False,False,True,True,True,False,544,25308,0.044256426944354055,"Handset object with 544 distinct hands, and 25308 hand combinations."
6,False,False,True,False,False,False,True,True,True,False,544,25308,0.044256426944354055,"Handset object with 544 distinct hands, and 25308 hand combinations."
7,True,True,False,False,False,False,True,True,False,False,416,21090,0.033843150016270744,"Handset object with 416 distinct hands, and 21090 hand combinations."
8,False,True,False,False,False,False,True,True,False,False,312,10545,0.02538236251220306,"Handset object with 312 distinct hands, and 10545 hand combinations."
9,True,False,False,False,False,False,True,True,False,False,312,7030,0.02538236251220306,"Handset object with 312 distinct hands, and 7030 hand combinations."
14,False,True,False,False,True,False,True,True,False,False,208,8436,0.016921575008135372,"Handset object with 208 distinct hands, and 8436 hand combinations."
17,True,False,True,False,False,False,True,True,False,False,208,10545,0.016921575008135372,"Handset object with 208 distinct hands, and 10545 hand combinations."
16,False,True,False,False,False,True,True,True,False,False,208,12654,0.016921575008135372,"Handset object with 208 distinct hands, and 12654 hand combinations."
15,True,False,False,False,False,True,True,True,False,False,208,10545,0.016921575008135372,"Handset object with 208 distinct hands, and 10545 hand combinations."
11,True,False,False,False,True,False,True,True,False,False,208,7030,0.016921575008135372,"Handset object with 208 distinct hands, and 7030 hand combinations."
13,False,True,False,True,False,False,True,True,False,False,208,12654,0.016921575008135372,"Handset object with 208 distinct hands, and 12654 hand combinations."
12,True,False,False,True,False,False,True,True,False,False,208,10545,0.016921575008135372,"Handset object with 208 distinct hands, and 10545 hand combinations."
10,False,True,True,False,False,False,True,True,False,False,208,12654,0.016921575008135372,"Handset object with 208 distinct hands, and 12654 hand combinations."
18,True,True,False,False,False,False,True,False,False,False,168,5130,0.01366742596810934,"Handset object with 168 distinct hands, and 5130 hand combinations."
24,False,False,False,False,True,False,True,True,False,False,104,703,0.008460787504067686,"Handset object with 104 distinct hands, and 703 hand combinations."
28,False,False,True,False,False,True,True,True,False,False,104,6327,0.008460787504067686,"Handset object with 104 distinct hands, and 6327 hand combinations."
27,False,False,False,True,True,False,True,True,False,False,104,4218,0.008460787504067686,"Handset object with 104 distinct hands, and 4218 hand combinations."
26,False,False,False,False,False,True,True,True,False,False,104,2109,0.008460787504067686,"Handset object with 104 distinct hands, and 2109 hand combinations."
25,False,False,False,False,True,True,True,True,False,False,104,4218,0.008460787504067686,"Handset object with 104 distinct hands, and 4218 hand combinations."
23,False,False,False,True,False,False,True,True,False,False,104,2109,0.008460787504067686,"Handset object with 104 distinct hands, and 2109 hand combinations."
22,False,False,True,False,False,False,True,True,False,False,104,2109,0.008460787504067686,"Handset object with 104 distinct hands, and 2109 hand combinations."
21,False,False,True,False,True,False,True,True,False,False,104,4218,0.008460787504067686,"Handset object with 104 distinct hands, and 4218 hand combinations."
20,False,False,True,True,False,False,True,True,False,False,104,6327,0.008460787504067686,"Handset object with 104 distinct hands, and 6327 hand combinations."
19,False,False,False,True,False,True,True,True,False,False,104,6327,0.008460787504067686,"Handset object with 104 distinct hands, and 6327 hand combinations."
29,False,True,True,False,False,False,True,False,False,False,70,2394,0.0056947608200455585,"Handset object with 70 distinct hands, and 2394 hand combinations."
30,True,False,True,False,False,False,True,False,False,False,70,1710,0.0056947608200455585,"Handset object with 70 distinct hands, and 1710 hand combinations."
31,True,False,False,False,False,True,True,False,False,False,70,1710,0.0056947608200455585,"Handset object with 70 distinct hands, and 1710 hand combinations."
32,False,True,False,False,True,False,True,False,False,False,70,1368,0.0056947608200455585,"Handset object with 70 distinct hands, and 1368 hand combinations."
33,True,False,False,True,False,False,True,False,False,False,70,1710,0.0056947608200455585,"Handset object with 70 distinct hands, and 1710 hand combinations."
34,False,True,False,True,False,False,True,False,False,False,70,2394,0.0056947608200455585,"Handset object with 70 distinct hands, and 2394 hand combinations."
35,True,False,False,False,True,False,True,False,False,False,70,950,0.0056947608200455585,"Handset object with 70 distinct hands, and 950 hand combinations."
36,False,True,False,False,False,True,True,False,False,False,70,2394,0.0056947608200455585,"Handset object with 70 distinct hands, and 2394 hand combinations."
40,True,True,False,True,False,False,True,False,False,False,56,3420,0.004555808656036446,"Handset object with 56 distinct hands, and 3420 hand combinations."
41,True,True,False,False,False,True,True,False,False,False,56,3420,0.004555808656036446,"Handset object with 56 distinct hands, and 3420 hand combinations."
37,True,True,True,False,False,False,True,False,False,False,56,3420,0.004555808656036446,"Handset object with 56 distinct hands, and 3420 hand combinations."
39,False,True,False,False,False,False,True,False,False,False,56,760,0.004555808656036446,"Handset object with 56 distinct hands, and 760 hand combinations."
38,True,True,False,False,True,False,True,False,False,False,56,2280,0.004555808656036446,"Handset object with 56 distinct hands, and 2280 hand combinations."
42,True,False,False,False,False,False,True,False,False,False,42,380,0.003416856492027335,"Handset object with 42 distinct hands, and 380 hand combinations."
52,False,False,False,False,True,True,True,False,False,False,28,342,0.002277904328018223,"Handset object with 28 distinct hands, and 342 hand combinations."
59,True,False,False,False,True,True,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
58,False,True,False,True,True,False,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
57,False,False,True,True,False,False,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
56,True,False,False,True,False,True,True,False,False,False,28,1710,0.002277904328018223,"Handset object with 28 distinct hands, and 1710 hand combinations."
55,False,True,False,False,True,True,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
54,False,False,True,False,False,True,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
53,True,False,False,True,True,False,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
60,False,True,True,True,False,False,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
51,False,False,False,True,True,False,True,False,False,False,28,342,0.002277904328018223,"Handset object with 28 distinct hands, and 342 hand combinations."
46,True,False,True,False,True,False,True,False,False,False,28,1140,0.002277904328018223,"Handset object with 28 distinct hands, and 1140 hand combinations."
43,False,True,True,False,True,False,True,False,False,False,28,1368,0.002277904328018223,"Handset object with 28 distinct hands, and 1368 hand combinations."
44,False,False,False,True,False,True,True,False,False,False,28,684,0.002277904328018223,"Handset object with 28 distinct hands, and 684 hand combinations."
45,False,True,True,False,False,True,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
50,True,False,True,False,False,True,True,False,False,False,28,1710,0.002277904328018223,"Handset object with 28 distinct hands, and 1710 hand combinations."
47,False,True,False,True,False,True,True,False,False,False,28,2052,0.002277904328018223,"Handset object with 28 distinct hands, and 2052 hand combinations."
