,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2327,82251,0.186130219,"Handset object with 2327 distinct hands, and 82251 hand combinations."
2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1114,45695,0.089105743,"Handset object with 1114 distinct hands, and 45695 hand combinations."
1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1114,54834,0.089105743,"Handset object with 1114 distinct hands, and 54834 hand combinations."
3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,557,18278,0.044552872,"Handset object with 557 distinct hands, and 18278 hand combinations."
4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,557,27417,0.044552872,"Handset object with 557 distinct hands, and 27417 hand combinations."
5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,557,18278,0.044552872,"Handset object with 557 distinct hands, and 18278 hand combinations."
6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,557,27417,0.044552872,"Handset object with 557 distinct hands, and 27417 hand combinations."
7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,420,22230,0.033594625,"Handset object with 420 distinct hands, and 22230 hand combinations."
8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,315,11115,0.025195969,"Handset object with 315 distinct hands, and 11115 hand combinations."
9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,315,7410,0.025195969,"Handset object with 315 distinct hands, and 7410 hand combinations."
14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,210,7410,0.016797312,"Handset object with 210 distinct hands, and 7410 hand combinations."
