,Stat,"Arakni, Huntsman","Azalea, Ace in the Hole","Bravo, Showstopper","Dash I/O","Dash, Inventor Extraordinaire","Dorinthea Ironsong","Dromai, Ash Artist","Fai, Rising Rebellion","Iyslander, Stormbind","Kano, Dracai of Aether","Katsu, the Wanderer","Levia, Shadowborn Abomination","Lexi, Livewire","Maxx 'The Hype' Nitro","Prism, Awakener of Sol","Rhinar, Reckless Rampage","Riptide, Lurker of the Deep","Ser Boltyn, Breaker of Dawn","Teklovossen, Esteemed Magnate","Uzuri, Switchblade","Viserai, Rune Blood","Vynnset, Iron Maiden"
"Arakni, Huntsman",Games,2714,3629,3726,470,3559,3005,4008,3272,3044,2772,3381,1925,3148,384,453,3939,1346,2254,367,1669,2974,745
"Arakni, Huntsman",Games going first,1357,1893,1672,240,1554,1593,2051,1738,1566,1633,1911,1027,1754,182,225,1942,752,1036,204,935,1406,344
"Arakni, Huntsman",Games going second,1357,1736,2054,230,2005,1412,1957,1534,1478,1139,1470,898,1394,202,228,1997,594,1218,163,734,1568,401
"Arakni, Huntsman",Wins,1357,1790,1187,286,1790,1256,691,1120,936,1303,1582,1080,1585,258,195,1617,712,984,255,813,1031,382
"Arakni, Huntsman",Wins going first,636,920,541,145,829,662,347,556,461,750,861,571,840,124,105,800,387,470,148,432,478,184
"Arakni, Huntsman",Wins going second,721,870,646,141,961,594,344,564,475,553,721,509,745,134,90,817,325,514,107,381,553,198
"Azalea, Ace in the Hole",Games,3629,7006,9629,1590,6803,6253,11028,6290,7249,5606,8607,4059,10364,845,1473,6273,4229,4335,834,9068,5851,2570
"Azalea, Ace in the Hole",Games going first,1736,3503,4295,676,3229,3058,5280,3290,3522,3105,4535,1946,5799,340,729,2922,2277,1801,394,4490,2562,1018
"Azalea, Ace in the Hole",Games going second,1893,3503,5334,914,3574,3195,5748,3000,3727,2501,4072,2113,4565,505,744,3351,1952,2534,440,4578,3289,1552
"Azalea, Ace in the Hole",Wins,1839,3503,3773,1102,3794,3015,4024,3274,3331,3062,4473,2479,4965,625,735,3473,2450,2410,636,4718,3138,1604
"Azalea, Ace in the Hole",Wins going first,866,1744,1696,473,1783,1296,1929,1568,1601,1669,2176,1131,2663,253,341,1625,1249,962,293,2260,1351,687
"Azalea, Ace in the Hole",Wins going second,973,1759,2077,629,2011,1719,2095,1706,1730,1393,2297,1348,2302,372,394,1848,1201,1448,343,2458,1787,917
"Bravo, Showstopper",Games,3726,9629,10498,1829,8447,7833,14197,10036,12009,6454,8147,6668,13500,1090,2466,7982,3081,6078,908,7905,7491,4550
"Bravo, Showstopper",Games going first,2054,5334,5249,963,4277,4045,7185,5414,6060,3731,4618,3461,7739,527,1332,4108,1809,2954,487,4237,3835,2147
"Bravo, Showstopper",Games going second,1672,4295,5249,866,4170,3788,7012,4622,5949,2723,3529,3207,5761,563,1134,3874,1272,3124,421,3668,3656,2403
"Bravo, Showstopper",Wins,2539,5856,5249,1215,4577,4163,7726,5116,5917,3065,4526,3960,6299,713,1293,4395,1915,3063,637,4048,3853,3181
"Bravo, Showstopper",Wins going first,1408,3257,2709,643,2493,2145,4012,2692,2999,1702,2517,2054,3285,364,716,2240,1103,1525,346,2218,2069,1560
"Bravo, Showstopper",Wins going second,1131,2599,2540,572,2084,2018,3714,2424,2918,1363,2009,1906,3014,349,577,2155,812,1538,291,1830,1784,1621
"Dash I/O",Games,470,1590,1829,2158,1165,985,2191,1454,918,603,1171,794,908,2061,511,864,495,1086,2115,1234,453,755
"Dash I/O",Games going first,230,914,866,1079,609,542,1090,868,458,372,680,425,567,927,262,431,287,462,1019,666,202,299
"Dash I/O",Games going second,240,676,963,1079,556,443,1101,586,460,231,491,369,341,1134,249,433,208,624,1096,568,251,456
"Dash I/O",Wins,184,488,614,1079,408,353,879,526,465,360,444,398,238,1232,311,394,208,449,1344,494,232,385
"Dash I/O",Wins going first,89,285,294,558,222,200,474,318,237,216,244,211,133,581,153,201,114,206,658,265,110,162
"Dash I/O",Wins going second,95,203,320,521,186,153,405,208,228,144,200,187,105,651,158,193,94,243,686,229,122,223
"Dash, Inventor Extraordinaire",Games,3559,6803,8447,1165,5638,5835,10078,8432,8110,5924,5306,3631,8653,746,1119,6393,1897,4027,625,4129,5428,1823
"Dash, Inventor Extraordinaire",Games going first,2005,3574,4170,556,2819,3383,5336,4526,4135,3656,3216,2009,4886,337,610,3190,1182,1950,315,2481,2604,794
"Dash, Inventor Extraordinaire",Games going second,1554,3229,4277,609,2819,2452,4742,3906,3975,2268,2090,1622,3767,409,509,3203,715,2077,310,1648,2824,1029
"Dash, Inventor Extraordinaire",Wins,1769,3009,3870,757,2819,2675,3901,3777,4027,3469,2330,2103,3386,532,721,3168,920,1677,442,1954,2627,1101
"Dash, Inventor Extraordinaire",Wins going first,1044,1563,2086,370,1485,1578,2224,1877,2072,2015,1340,1146,1722,249,399,1596,561,871,222,1229,1256,507
"Dash, Inventor Extraordinaire",Wins going second,725,1446,1784,387,1334,1097,1677,1900,1955,1454,990,957,1664,283,322,1572,359,806,220,725,1371,594
"Dorinthea Ironsong",Games,3005,6253,7833,985,5835,3736,9112,6674,7030,4838,5606,4351,7211,568,1539,5811,2033,3819,514,4560,5316,2804
"Dorinthea Ironsong",Games going first,1412,3195,3788,443,2452,1868,4401,3336,3879,2917,2999,2093,3999,224,718,2802,1188,1524,251,2399,2317,1119
"Dorinthea Ironsong",Games going second,1593,3058,4045,542,3383,1868,4711,3338,3151,1921,2607,2258,3212,344,821,3009,845,2295,263,2161,2999,1685
"Dorinthea Ironsong",Wins,1749,3238,3670,632,3160,1868,3871,3698,3065,2672,2961,2663,3588,384,675,3144,861,2144,382,2194,2570,1722
"Dorinthea Ironsong",Wins going first,818,1476,1770,290,1355,901,1805,1626,1562,1536,1389,1189,1839,158,304,1428,473,820,194,1109,1058,688
"Dorinthea Ironsong",Wins going second,931,1762,1900,342,1805,967,2066,2072,1503,1136,1572,1474,1749,226,371,1716,388,1324,188,1085,1512,1034
"Dromai, Ash Artist",Games,4008,11028,14197,2191,10078,9112,10272,10303,11630,7502,8303,6150,15599,1281,2025,8734,2969,6252,1088,7839,8249,3824
"Dromai, Ash Artist",Games going first,1957,5748,7012,1101,4742,4711,5136,5339,5902,4324,4735,3104,8500,608,1012,4369,1690,2763,522,4237,3971,1549
"Dromai, Ash Artist",Games going second,2051,5280,7185,1090,5336,4401,5136,4964,5728,3178,3568,3046,7099,673,1013,4365,1279,3489,566,3602,4278,2275
"Dromai, Ash Artist",Wins,3317,7004,6471,1312,6177,5241,5136,3695,6920,5050,3651,3359,7721,960,1664,4025,2416,4108,959,5519,4060,2383
"Dromai, Ash Artist",Wins going first,1613,3653,3298,696,3065,2645,2520,1763,3611,2859,1946,1690,3964,484,824,2063,1352,1845,457,2981,1931,1028
"Dromai, Ash Artist",Wins going second,1704,3351,3173,616,3112,2596,2616,1932,3309,2191,1705,1669,3757,476,840,1962,1064,2263,502,2538,2129,1355
"Fai, Rising Rebellion",Games,3272,6290,10036,1454,8432,6674,10303,9598,9539,5460,5272,4289,8255,830,1252,7227,1901,4195,710,4062,6193,2057
"Fai, Rising Rebellion",Games going first,1534,3000,4622,586,3906,3338,4964,4799,4905,3054,2792,2088,4303,311,548,3387,976,1724,272,2049,2831,799
"Fai, Rising Rebellion",Games going second,1738,3290,5414,868,4526,3336,5339,4799,4634,2406,2480,2201,3952,519,704,3840,925,2471,438,2013,3362,1258
"Fai, Rising Rebellion",Wins,2152,3016,4920,928,4655,2976,6608,4799,4616,3127,2506,2795,3160,577,970,4662,900,2388,633,2080,3407,1139
"Fai, Rising Rebellion",Wins going first,970,1294,2198,378,2006,1266,3032,2183,2329,1774,1145,1291,1504,219,426,2111,400,953,240,958,1484,503
"Fai, Rising Rebellion",Wins going second,1182,1722,2722,550,2649,1710,3576,2616,2287,1353,1361,1504,1656,358,544,2551,500,1435,393,1122,1923,636
"Iyslander, Stormbind",Games,3044,7249,12009,918,8110,7030,11630,9539,7494,4525,5990,5288,10325,421,1706,7005,1795,4299,397,5176,5876,3230
"Iyslander, Stormbind",Games going first,1478,3727,5949,460,3975,3151,5728,4634,3747,2606,3014,2516,5232,203,864,3521,897,2007,184,2563,2694,1428
"Iyslander, Stormbind",Games going second,1566,3522,6060,458,4135,3879,5902,4905,3747,1919,2976,2772,5093,218,842,3484,898,2292,213,2613,3182,1802
"Iyslander, Stormbind",Wins,2108,3918,6092,453,4083,3965,4710,4923,3747,2634,3645,3287,4002,300,730,3730,1329,3081,351,3577,3466,2080
"Iyslander, Stormbind",Wins going first,1003,1997,3031,232,2020,1648,2419,2347,1847,1427,1762,1522,1869,144,374,1902,643,1455,157,1738,1568,927
"Iyslander, Stormbind",Wins going second,1105,1921,3061,221,2063,2317,2291,2576,1900,1207,1883,1765,2133,156,356,1828,686,1626,194,1839,1898,1153
"Kano, Dracai of Aether",Games,2772,5606,6454,603,5924,4838,7502,5460,4525,2846,5057,2789,6526,348,818,5416,1691,2983,213,3515,4562,1326
"Kano, Dracai of Aether",Games going first,1139,2501,2723,231,2268,1921,3178,2406,1919,1423,2218,1070,2795,121,287,2498,640,1089,82,1387,1683,395
"Kano, Dracai of Aether",Games going second,1633,3105,3731,372,3656,2917,4324,3054,2606,1423,2839,1719,3731,227,531,2918,1051,1894,131,2128,2879,931
"Kano, Dracai of Aether",Wins,1469,2544,3389,243,2455,2166,2452,2333,1891,1423,2262,1578,2460,186,277,2587,1096,1621,162,2017,2309,649
"Kano, Dracai of Aether",Wins going first,586,1108,1360,87,814,785,987,1053,712,618,981,567,956,65,89,1180,390,613,61,784,812,182
"Kano, Dracai of Aether",Wins going second,883,1436,2029,156,1641,1381,1465,1280,1179,805,1281,1011,1504,121,188,1407,706,1008,101,1233,1497,467
"Katsu, the Wanderer",Games,3381,8607,8147,1171,5306,5605,8303,5272,5990,5057,5426,3909,9030,672,1634,5337,3921,4130,662,7173,5602,2580
"Katsu, the Wanderer",Games going first,1470,4072,3529,491,2090,2606,3568,2480,2976,2839,2713,1658,4738,268,675,2331,1974,1509,267,3288,2268,860
"Katsu, the Wanderer",Games going second,1911,4535,4618,680,3216,2999,4735,2792,3014,2218,2713,2251,4292,404,959,3006,1947,2621,395,3885,3334,1720
"Katsu, the Wanderer",Wins,1799,4134,3621,727,2976,2644,4652,2766,2345,2795,2713,2369,3874,478,1118,3146,2107,2302,523,3417,2853,1426
"Katsu, the Wanderer",Wins going first,749,1775,1520,291,1100,1034,1863,1119,1093,1558,1156,927,1860,185,437,1272,947,813,214,1420,1076,495
"Katsu, the Wanderer",Wins going second,1050,2359,2101,436,1876,1610,2789,1647,1252,1237,1557,1442,2014,293,681,1874,1160,1489,309,1997,1777,931
"Levia, Shadowborn Abomination",Games,1925,4059,6668,794,3631,4351,6150,4289,5288,2789,3909,3900,5161,410,2798,3774,1562,5396,473,3953,3734,5513
"Levia, Shadowborn Abomination",Games going first,898,2113,3207,369,1622,2258,3046,2201,2772,1719,2251,1950,3053,169,1330,1692,850,2397,207,2242,1693,2277
"Levia, Shadowborn Abomination",Games going second,1027,1946,3461,425,2009,2093,3104,2088,2516,1070,1658,1950,2108,241,1468,2082,712,2999,266,1711,2041,3236
"Levia, Shadowborn Abomination",Wins,845,1580,2708,396,1528,1688,2791,1494,2001,1211,1540,1950,1483,243,1823,1804,696,2184,345,1599,1306,2681
"Levia, Shadowborn Abomination",Wins going first,389,765,1301,182,665,784,1377,697,1007,708,809,874,824,95,891,765,328,985,152,813,577,1204
"Levia, Shadowborn Abomination",Wins going second,456,815,1407,214,863,904,1414,797,994,503,731,1076,659,148,932,1039,368,1199,193,786,729,1477
"Lexi, Livewire",Games,3148,10364,13500,908,8653,7211,15599,8255,10325,6526,9030,5161,12672,530,1880,7253,3617,4387,519,9112,7337,3057
"Lexi, Livewire",Games going first,1394,4565,5761,341,3767,3212,7099,3952,5093,3731,4292,2108,6336,167,736,3004,1750,1617,196,3974,3031,949
"Lexi, Livewire",Games going second,1754,5799,7739,567,4886,3999,8500,4303,5232,2795,4738,3053,6336,363,1144,4249,1867,2770,323,5138,4306,2108
"Lexi, Livewire",Wins,1563,5399,7201,670,5267,3623,7878,5095,6323,4066,5156,3678,6336,418,1243,4587,2137,2933,447,4506,4753,2190
"Lexi, Livewire",Wins going first,649,2263,2747,236,2103,1463,3342,2296,2960,2227,2278,1449,2786,125,457,1847,927,1062,163,1796,1825,660
"Lexi, Livewire",Wins going second,914,3136,4454,434,3164,2160,4536,2799,3363,1839,2878,2229,3550,293,786,2740,1210,1871,284,2710,2928,1530
"Maxx 'The Hype' Nitro",Games,384,845,1090,2061,746,568,1281,830,421,348,672,410,530,1106,308,463,325,695,1631,760,333,506
"Maxx 'The Hype' Nitro",Games going first,202,505,563,1134,409,344,673,519,218,227,404,241,363,553,160,248,200,361,890,499,166,209
"Maxx 'The Hype' Nitro",Games going second,182,340,527,927,337,224,608,311,203,121,268,169,167,553,148,215,125,334,741,261,167,297
"Maxx 'The Hype' Nitro",Wins,126,220,377,829,214,184,321,253,121,162,194,167,112,553,167,185,136,202,962,240,133,202
"Maxx 'The Hype' Nitro",Wins going first,68,133,214,483,126,118,197,161,62,106,111,93,70,287,87,100,82,117,553,159,70,111
"Maxx 'The Hype' Nitro",Wins going second,58,87,163,346,88,66,124,92,59,56,83,74,42,266,80,85,54,85,409,81,63,91
"Prism, Awakener of Sol",Games,453,1473,2466,511,1119,1539,2025,1252,1706,818,1634,2798,1880,308,1230,943,546,2882,290,1707,1387,3907
"Prism, Awakener of Sol",Games going first,228,744,1134,249,509,821,1013,704,842,531,959,1468,1144,148,615,439,325,1334,146,928,649,1814
"Prism, Awakener of Sol",Games going second,225,729,1332,262,610,718,1012,548,864,287,675,1330,736,160,615,504,221,1548,144,779,738,2093
"Prism, Awakener of Sol",Wins,258,738,1173,200,398,864,361,282,976,541,516,975,637,141,615,331,311,1026,211,892,488,1629
"Prism, Awakener of Sol",Wins going first,138,350,557,91,187,450,173,160,486,343,278,536,358,68,309,164,198,499,109,474,225,821
"Prism, Awakener of Sol",Wins going second,120,388,616,109,211,414,188,122,490,198,238,439,279,73,306,167,113,527,102,418,263,808
"Rhinar, Reckless Rampage",Games,3939,6273,7982,864,6393,5811,8734,7227,7005,5416,5337,3774,7253,463,943,5332,2011,3927,510,4104,5782,1505
"Rhinar, Reckless Rampage",Games going first,1997,3351,3874,433,3203,3009,4365,3840,3484,2918,3006,2082,4249,215,504,2666,1191,1854,261,2096,2822,684
"Rhinar, Reckless Rampage",Games going second,1942,2922,4108,431,3190,2802,4369,3387,3521,2498,2331,1692,3004,248,439,2666,820,2073,249,2008,2960,821
"Rhinar, Reckless Rampage",Wins,2322,2800,3587,470,3225,2667,4709,2565,3275,2829,2191,1970,2666,278,612,2666,1077,1721,384,1957,2190,808
"Rhinar, Reckless Rampage",Wins going first,1180,1503,1719,240,1631,1293,2403,1289,1656,1511,1132,1043,1509,130,337,1344,625,830,208,979,1042,395
"Rhinar, Reckless Rampage",Wins going second,1142,1297,1868,230,1594,1374,2306,1276,1619,1318,1059,927,1157,148,275,1322,452,891,176,978,1148,413
"Riptide, Lurker of the Deep",Games,1346,4229,3081,495,1897,2033,2969,1901,1795,1691,3921,1562,3617,325,546,2011,2112,1491,289,4928,2278,824
"Riptide, Lurker of the Deep",Games going first,594,1952,1272,208,715,845,1279,925,898,1051,1947,712,1867,125,221,820,1056,555,112,2289,888,288
"Riptide, Lurker of the Deep",Games going second,752,2277,1809,287,1182,1188,1690,976,897,640,1974,850,1750,200,325,1191,1056,936,177,2639,1390,536
